,STATE,CITY,KEYWORD,STATE,COUNTRY
3701,ca,,,,USA
3702,ca,,,,USA
3707,ca,,,,USA
3712,ca,,,,USA
3713,ca,,,,USA
3719,ca,,,,USA
3726,ca,,,,USA
3728,ca,,,,USA
3730,ca,,,,USA
3731,ca,,,,USA
3732,ca,,,,USA
3733,ca,,,,USA
3734,ca,,,,USA
3735,ny,new york,,,USA
3736,il,chicago,,,USA
3741,ca,,,,USA
3742,ca,,,,USA
3746,ca,,,,USA
3753,ca,,,,USA
3754,fl,,,,USA
3755,ny,new york,,,USA
3757,ca,san francisco,,,USA
3764,tx,houston,,,USA
3765,tx,houston,,,USA
3767,ny,,,,USA
3770,ca,los angeles,,,USA
3772,ny,new york,,,USA
3775,il,,,,USA
3791,nv,las vegas,,,USA
3792,nv,las vegas,,,USA
3793,nv,las vegas,,,USA
3794,nv,las vegas,,,USA
3795,nv,las vegas,,,USA
3796,nv,las vegas,,,USA
3797,nv,las vegas,,,USA
3806,va,,,,USA
3808,nj,,,,USA
3811,ca,,,,USA
3814,wa,seattle,,,USA
3819,wv,,,,USA
3825,ny,new york,,,USA
3826,mo,,,,USA
3829,ca,san francisco,,,USA
3843,ny,new york,,,USA
3846,dc,washington,,,USA
3851,mn,,,,USA
3855,la,los angeles,,,USA
3856,ca,,,,USA
3861,ma,boston,,,USA
3862,va,,,,USA
3863,tx,,,,USA
3864,tx,,,,USA
3866,tx,houston,,,USA
3872,ca,,,,USA
3878,pa,philadelphia,,,USA
3881,ny,new york,,,USA
3882,ca,,,,USA
3888,ca,,,,USA
3901,in,,,,USA
3904,ga,,,,USA
3909,pa,,,,USA
3916,sc,,,,USA
3918,nj,,,,USA
3923,fl,,,,USA
3932,ok,,,,USA
3934,tx,,,,USA
3940,de,,,,USA
3941,ny,,,,USA
3946,ca,los angeles,,,USA
3948,md,,,,USA
3959,ca,,,,USA
3964,ny,new york,,,USA
3965,nv,las vegas,,,USA
3966,nv,las vegas,,,USA
3967,nv,las vegas,,,USA
3968,nv,las vegas,,,USA
3969,nv,las vegas,,,USA
3970,nv,las vegas,,,USA
3988,nj,,,,USA
3996,ny,new york,,,USA
3998,fl,,,,USA
3999,nv,las vegas,,,USA
